x,y
-0.0137576,0.292872
0.00310159,0.29498
-0.00245369,0.30647
-0.0137576,0.292872
-0.00245369,0.30647
-0.014781,0.307758
-0.00201212,0.283429
0.00310159,0.29498
-0.0137576,0.292872
0.0036161,0.329781
-0.00759908,0.316861
0.00611447,0.316224
-0.0106381,0.32805
-0.00759908,0.316861
0.0036161,0.329781
0.0036161,0.270219
0.0101119,0.285395
-0.00201212,0.283429
0.0170419,0.27531
0.0101119,0.285395
0.0036161,0.270219
0.0166928,0.296143
0.0101119,0.285395
0.0265637,0.286058
0.0265637,0.286058
0.0101119,0.285395
0.0170419,0.27531
0.0036161,0.329781
0.00611447,0.316224
0.0170419,0.32469
0.03,0.3
0.0166928,0.296143
0.0265637,0.286058
-0.0291283,0.307179
-0.014781,0.307758
-0.0224553,0.319894
-0.0224553,0.280106
-0.0137576,0.292872
-0.0291283,0.292821
0.0036161,0.270219
-0.00201212,0.283429
-0.0106381,0.27195
-0.0224553,0.319894
-0.00759908,0.316861
-0.0106381,0.32805
-0.014781,0.307758
-0.00759908,0.316861
-0.0224553,0.319894
-0.014781,0.307758
-0.0216988,0.300157
-0.0137576,0.292872
-0.0137576,0.292872
-0.0122158,0.282089
-0.00201212,0.283429
0.00310159,0.29498
0.0101119,0.285395
0.0166928,0.296143
0.00611447,0.316224
-0.00759908,0.316861
-0.00245369,0.30647
0.0100282,0.30557
0.00310159,0.29498
0.0166928,0.296143
-0.00245369,0.30647
0.00310159,0.29498
0.0100282,0.30557
0.0170419,0.32469
0.016208,0.314359
0.0265637,0.313942
-0.0137576,0.292872
-0.0216988,0.300157
-0.0291283,0.292821
-0.0106381,0.27195
-0.0122158,0.282089
-0.0224553,0.280106
-0.00201212,0.283429
-0.0122158,0.282089
-0.0106381,0.27195
-0.0291283,0.292821
-0.0216988,0.300157
-0.0291283,0.307179
0.0265637,0.313942
0.0210244,0.305182
0.03,0.3
0.03,0.3
0.0210244,0.305182
0.0166928,0.296143
-0.0291283,0.307179
-0.0216988,0.300157
-0.014781,0.307758
-0.0224553,0.280106
-0.0122158,0.282089
-0.0137576,0.292872
0.00611447,0.316224
0.016208,0.314359
0.0170419,0.32469
-0.00201212,0.283429
0.0101119,0.285395
0.00310159,0.29498
0.00611447,0.316224
-0.00245369,0.30647
0.0100282,0.30557
-0.00245369,0.30647
-0.00759908,0.316861
-0.014781,0.307758
0.00611447,0.316224
0.0100282,0.30557
0.016208,0.314359
0.0100282,0.30557
0.0210244,0.305182
0.016208,0.314359
0.0166928,0.296143
0.0210244,0.305182
0.0100282,0.30557
0.016208,0.314359
0.0210244,0.305182
0.0265637,0.313942
